Id,Label,timeset,belong
0,Beak,,b
1,Beescratch,,a
2,Bumper,,b
3,CCL,,b
4,Cross,,b
5,DN16,,a
6,DN21,,a
7,DN63,,a
8,Double,,b
9,Feather,,a
10,Fish,,b
11,Five,,b
12,Fork,,b
13,Gallatin,,a
14,Grin,,b
15,Haecksel,,b
16,Hook,,b
17,Jet,,a
18,Jonah,,b
19,Knit,,a
20,Kringel,,b
21,MN105,,b
22,MN23,,a
23,MN60,,b
24,MN83,,b
25,Mus,,a
26,Notch,,a
27,Number1,,a
28,Oscar,,b
29,Patchback,,b
30,PL,,b
31,Quasi,,a
32,Ripplefluke,,a
33,Scabs,,b
34,Shmuddel,,b
35,SMN5,,b
36,SN100,,b
37,SN4,,b
38,SN63,,b
39,SN89,,a
40,SN9,,b
41,SN90,,a
42,SN96,,b
43,Stripes,,b
44,Thumper,,b
45,Topless,,b
46,TR120,,b
47,TR77,,b
48,TR82,,a
49,TR88,,b
50,TR99,,b
51,Trigger,,b
52,TSN103,,b
53,TSN83,,b
54,Upbang,,a
55,Vau,,b
56,Wave,,a
57,Web,,a
58,Whitetip,,b
59,Zap,,b
60,Zig,,a
61,Zipfel,,
